"Format","AiM CSV File"
"Session","Rotena"
"Vehicle","kartingas"
"Racer","Jokūbas Kupstas"
"Championship",""
"Comment",""
"Date","Saturday, June 13, 2026"
"Time","3:15 PM"
"Sample Rate","20"
"Duration","943.99"
"Segment","Session"
"Beacon Markers","64.83","154.158","241.78","330.58","418.469","500.684","581.735","669.11","749.626","840.319","943.99"
"Segment Times","1:04.830","1:29.328","1:27.622","1:28.800","1:27.889","1:22.215","1:21.051","1:27.375","1:20.516","1:30.693","1:43.671"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","m"

"0.000","0.2333","11","0.0000","0.0000","0.8050","-106.6228","0.0000","175.3019","1360.0000","0.5040","10000.0000","54.58520450","24.52726109","16.2188","3.8160","847.0000","0.0000"
"0.050","0.2848","11","0.0000","0.0000","-0.5912","-98.7074","0.0000","175.3007","1357.5000","0.4860","10000.0000","54.58520451","24.52726102","16.2188","3.8160","847.0000","0.0031"
"0.100","0.5734","11","0.0000","0.0000","-3.1124","-68.3077","0.0000","175.2906","1350.0000","0.4320","10000.0000","54.58520456","24.52726067","16.2188","3.8160","1347.7600","0.0091"
"0.150","0.5863","11","0.0000","0.0000","-2.8364","-45.4852","0.0000","175.2863","1350.0000","0.4590","10000.0000","54.58520466","24.52726058","16.2188","3.8160","1745.6200","0.0175"
"0.200","0.3776","10","0.0000","0.0000","-2.6650","-55.9708","0.0000","175.2898","1350.0000","0.4320","10000.0000","54.58520465","24.52726039","16.2188","3.8160","2415.4800","0.0244"
"0.250","0.3366","10","0.0000","0.0000","-2.3485","-86.6877","0.0000","175.2892","1340.0000","0.4680","10000.0000","54.58520466","24.52726035","16.2188","3.8160","3125.3201","0.0293"
"0.300","0.3785","10","0.0000","0.0000","0.5669","-90.7976","0.0000","175.2941","1340.0000","0.4680","10000.0000","54.58520467","24.52726022","16.2188","3.8160","3626.6599","0.0342"
"0.350","0.5101","10","0.0000","0.0000","-2.1277","-87.0028","0.0000","175.2929","1332.5000","0.4680","10000.0000","54.58520465","24.52726008","16.2188","3.8160","3880.2200","0.0403"
"0.400","0.7082","10","0.0000","0.0000","-3.2620","-80.3271","0.0000","175.2961","1330.0000","0.4320","10000.0000","54.58520473","24.52725990","16.2188","3.8160","4068.3000","0.0486"
"0.450","1.0506","10","0.0374","0.0543","-1.8628","-79.6057","0.0000","175.3143","1330.0000","0.4680","10000.0000","54.58520485","24.52725952","16.2188","3.8160","3793.1001","0.0611"
"0.500","1.3580","10","0.1122","0.1778","0.3812","-67.8571","0.0000","175.3567","1330.0000","0.4680","10000.0000","54.58520512","24.52725931","16.2188","3.8160","3388.1001","0.0780"
"0.550","1.4087","10","0.0320","0.0035","1.9521","-64.7237","0.0000","175.3746","1322.5000","0.4950","10000.0000","54.58520524","24.52725911","16.2188","3.8160","3038.4800","0.0974"
"0.600","1.1384","10","0.0000","0.0000","1.6918","-59.7076","0.0000","175.3924","1320.0001","0.5040","10000.0000","54.58520537","24.52725907","16.2188","3.8160","2765.3201","0.1154"
"0.650","0.5523","10","0.0000","0.0000","9.8877","-54.4985","0.0000","175.4160","1320.0001","0.4950","10000.0000","54.58520523","24.52725914","16.2188","3.8160","2645.8201","0.1267"
"0.700","0.2223","10","0.0000","0.0000","14.2751","64.2260","0.0000","175.4247","1320.0001","0.5040","10000.0000","54.58520512","24.52725937","16.2188","3.8160","2519.5801","0.1315"
"0.750","0.2432","10","0.0000","0.0000","8.8248","175.1917","0.0000","175.4299","1320.0001","0.5400","10000.0000","54.58520505","24.52725939","16.2188","3.8160","2368.1001","0.1348"
"0.800","0.0720","10","0.0000","0.0000","31.8159","-150.7576","0.0000","175.4341","1309.9999","0.5400","10000.0000","54.58520515","24.52725944","16.2188","3.8160","2353.5000","0.1372"
"0.850","0.1692","10","0.0000","0.0000","-4.2148","39.5007","0.0000","175.4515","1309.9999","0.5580","10000.0000","54.58520528","24.52725967","16.2188","3.8160","2275.5400","0.1390"
"0.900","0.2421","10","0.0000","0.0000","4.7437","103.2596","0.0000","175.4754","1309.9999","0.4860","10000.0000","54.58520525","24.52725976","16.2188","3.8160","2218.4600","0.1418"
"0.950","0.3557","10","0.0000","0.0000","5.1432","147.2537","0.0000","175.5032","1309.9999","0.4950","10000.0000","54.58520517","24.52725981","16.2188","3.8160","2196.5200","0.1460"
"1.000","0.3377","10","0.0000","0.0000","8.2523","161.3552","0.0000","175.5108","1309.9999","0.5040","10000.0000","54.58520511","24.52725995","16.2188","3.8160","2205.4800","0.1509"
"1.050","0.2214","10","0.0000","0.0000","18.6897","73.5498","0.0000","175.5438","1300.0000","0.4590","10000.0000","54.58520528","24.52726009","16.2188","3.8160","2601.3401","0.1547"
"1.100","0.1618","10","0.0000","0.0000","24.4992","-29.2586","0.0000","175.5595","1300.0000","0.4680","10000.0000","54.58520543","24.52726013","16.2188","3.8160","3165.1799","0.1571"
"1.150","0.3747","10","0.0000","0.0000","9.0927","-47.7706","0.0000","175.5713","1300.0000","0.4770","10000.0000","54.58520551","24.52726000","16.2188","3.8160","3374.8999","0.1607"
"1.200","0.3097","10","0.0000","0.0000","6.9963","-64.2946","0.0000","175.5842","1300.0000","0.4680","10000.0000","54.58520558","24.52725995","16.2188","3.8160","3202.2200","0.1657"
"1.250","0.0841","10","0.0000","0.0000","29.0827","-57.7733","0.0000","175.6012","1300.0000","0.4500","10000.0000","54.58520560","24.52726023","16.2188","3.8160","2937.9600","0.1681"
"1.300","0.0762","10","0.0000","0.0000","44.9871","88.7493","0.0000","175.6254","1295.0000","0.4680","10000.0000","54.58520568","24.52726027","16.2188","3.8160","2856.3799","0.1692"
"1.350","0.1655","10","0.0000","0.0000","27.4319","142.2391","0.0000","175.6493","1290.0000","0.4320","10000.0000","54.58520565","24.52726037","16.2190","3.8160","3202.5601","0.1708"
"1.400","0.1871","10","0.0000","0.0000","16.6695","94.2697","0.0000","175.6667","1290.0000","0.5040","10000.0000","54.58520578","24.52726059","16.2197","3.8160","3235.7000","0.1733"
"1.450","0.0942","11","0.0000","0.0000","24.1572","-135.9837","0.0000","175.6638","1290.0000","0.4680","10000.0000","54.58520566","24.52726053","16.2204","3.8160","3050.8601","0.1750"
"1.500","0.2267","11","0.0000","0.0000","4.9803","-90.8959","0.0000","175.6775","1285.0000","0.4680","10000.0000","54.58520572","24.52726043","16.2211","3.8160","2972.0200","0.1773"
"1.550","0.3445","11","0.0000","0.0000","11.0388","-95.1235","0.0000","175.7091","1280.0000","0.4680","10000.0000","54.58520579","24.52726038","16.2218","3.8160","3118.2200","0.1812"
"1.600","0.4260","11","0.0000","0.0000","11.6420","-89.5388","0.0000","175.7338","1280.0000","0.4680","10000.0000","54.58520571","24.52726027","16.2226","3.8160","3364.8000","0.1865"
"1.650","0.4475","11","0.0000","0.0000","9.0780","-78.1185","0.0000","175.7419","1280.0000","0.4590","10000.0000","54.58520576","24.52726027","16.2233","3.8160","3301.8799","0.1927"
"1.700","0.3758","11","0.0000","0.0000","8.2495","-62.6405","0.0000","175.7460","1280.0000","0.4320","10000.0000","54.58520578","24.52726027","16.2240","3.8160","3060.5200","0.1983"
"1.750","0.4073","11","0.0000","0.0000","4.4754","-48.9463","0.0000","175.7382","1272.5000","0.4590","10000.0000","54.58520584","24.52726021","16.2247","3.8160","2918.5400","0.2037"
"1.800","0.5315","11","0.0000","0.0000","0.7080","-36.7900","0.0000","175.7371","1270.0000","0.4680","10000.0000","54.58520582","24.52725999","16.2254","3.8160","2792.0400","0.2101"
