"Format","AiM CSV File"
"Session","Rotena"
"Vehicle","kartingas"
"Racer","Jokūbas Kupstas"
"Championship",""
"Comment",""
"Date","Saturday, June 13, 2026"
"Time","1:15 PM"
"Sample Rate","20"
"Duration","912.986"
"Segment","Session"
"Beacon Markers","30.756","94.708","155.867","217.84","279.15","340.598","402.087","464.132","525.567","586.854","647.631","709.005","770.74","831.654","912.986"
"Segment Times","0:30.756","1:03.952","1:01.159","1:01.973","1:01.310","1:01.448","1:01.489","1:02.045","1:01.435","1:01.287","1:00.777","1:01.374","1:01.735","1:00.914","1:21.332"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","m"

"0.000","0.4749","15","0.0000","0.0000","1.6808","28.9671","0.0000","168.5039","490.0000","0.5040","10000.0000","54.58510296","24.52722780","30.9688","3.8680","1004.0000","0.0000"
"0.050","0.4660","15","0.0000","0.0000","1.7689","26.6989","0.0000","168.5046","490.0000","0.5040","10000.0000","54.58510299","24.52722781","30.9688","3.8680","1004.0000","0.0054"
"0.100","0.3603","15","0.0000","0.0000","4.3686","19.3114","0.0000","168.5068","490.0000","0.5040","10000.0000","54.58510308","24.52722786","30.9688","3.8680","1004.0000","0.0112"
"0.150","0.2230","15","0.0000","0.0000","10.4825","17.7663","0.0000","168.5064","490.0000","0.5040","10000.0000","54.58510297","24.52722792","30.9688","3.8680","1004.0000","0.0152"
"0.200","0.1347","15","0.0000","0.0000","7.4051","73.6024","0.0000","168.5010","490.0000","0.5040","10000.0000","54.58510300","24.52722800","30.9688","3.8680","1004.0000","0.0177"
"0.250","0.0852","15","0.0000","0.0000","10.8298","78.6484","0.0000","168.4895","480.0000","0.4050","10000.0000","54.58510295","24.52722802","30.9688","3.8680","362.4400","0.0192"
"0.300","0.0984","15","0.0000","0.0000","-6.1776","-43.1014","0.0000","168.4754","480.0000","0.3960","10000.0000","54.58510294","24.52722807","30.9688","3.8680","258.0000","0.0205"
"0.350","0.0450","15","0.0000","0.0000","-13.9186","-69.6019","0.0000","168.4774","480.0000","0.3600","10000.0000","54.58510295","24.52722807","30.9688","3.8680","478.1600","0.0215"
"0.400","0.1871","15","0.0000","0.0000","1.5380","-72.8743","0.0000","168.4929","480.0000","0.3960","10000.0000","54.58510295","24.52722800","30.9688","3.8680","514.0000","0.0229"
"0.450","0.1819","15","0.0000","0.0000","10.8157","-97.5734","0.0000","168.5011","480.0000","0.4140","10000.0000","54.58510296","24.52722785","30.9688","3.8680","514.0000","0.0256"
"0.500","0.2024","15","0.0000","0.0000","15.7910","-2.0020","0.0000","168.4900","480.0000","0.4320","10000.0000","54.58510291","24.52722807","30.9688","3.8680","514.0000","0.0278"
"0.550","0.5834","15","0.0000","0.0000","1.2098","151.8747","0.0000","168.4868","480.0000","0.4230","10000.0000","54.58510275","24.52722820","30.9688","3.8680","514.0000","0.0332"
"0.600","0.2546","15","0.0000","0.0000","7.0389","155.6953","0.0000","168.4948","480.0000","0.4320","10000.0000","54.58510277","24.52722822","30.9688","3.8680","514.0000","0.0397"
"0.650","0.1207","14","0.0000","0.0000","6.1458","-158.0728","0.0000","168.4891","480.0000","0.5130","10000.0000","54.58510284","24.52722816","30.9688","3.8680","514.0000","0.0420"
"0.700","0.3463","14","0.0000","0.0000","5.1534","-158.3208","0.0000","168.4922","480.0000","0.5400","10000.0000","54.58510272","24.52722812","30.9688","3.8680","71.9600","0.0453"
"0.750","0.4790","14","0.0000","0.0000","4.0690","-152.0126","0.0000","168.4874","480.0000","0.5400","10000.0000","54.58510259","24.52722796","30.9688","3.8680","0.0000","0.0511"
"0.800","0.2835","14","0.0000","0.0000","5.5701","-142.9179","0.0000","168.4814","480.0000","0.5400","10000.0000","54.58510263","24.52722801","30.9688","3.8680","114.3800","0.0567"
"0.850","0.0928","14","0.0000","0.0000","16.2000","-87.4516","0.0000","168.4882","480.0000","0.4770","10000.0000","54.58510270","24.52722803","30.9688","3.8680","960.3200","0.0590"
"0.900","0.1816","14","0.0000","0.0000","2.0807","15.2943","0.0000","168.4802","480.0000","0.4860","10000.0000","54.58510280","24.52722821","30.9688","3.8680","1095.0000","0.0609"
"0.950","0.2134","14","0.0000","0.0000","7.6890","8.2991","0.0000","168.4844","480.0000","0.4680","10000.0000","54.58510286","24.52722819","30.9688","3.8680","1356.4399","0.0637"
"1.000","0.2160","14","0.0000","0.0000","6.4124","-1.5293","0.0000","168.4843","480.0000","0.4680","10000.0000","54.58510290","24.52722835","30.9688","3.8680","2284.8000","0.0667"
"1.050","0.1716","14","0.0000","0.0000","4.4703","-0.4315","0.0000","168.4858","480.0000","0.4500","10000.0000","54.58510288","24.52722816","30.9688","3.8680","2149.5000","0.0693"
"1.100","0.1524","14","0.0000","0.0000","2.7095","1.4201","0.0000","168.4792","485.0000","0.4680","10000.0000","54.58510297","24.52722824","30.9688","3.8683","2004.2400","0.0716"
"1.150","0.1166","14","0.0000","0.0000","1.6597","-48.9309","0.0000","168.4845","490.0000","0.4050","10000.0000","54.58510290","24.52722817","30.9688","3.8690","1892.5400","0.0735"
"1.200","0.0882","14","0.0000","0.0000","20.5815","-77.0311","0.0000","168.4819","490.0000","0.3960","10000.0000","54.58510293","24.52722821","30.9688","3.8697","1780.6801","0.0749"
"1.250","0.0630","14","0.0000","0.0000","13.9186","110.3981","0.0000","168.4684","490.0000","0.3960","10000.0000","54.58510295","24.52722827","30.9688","3.8700","1864.7600","0.0759"
"1.300","0.1260","14","0.0000","0.0000","12.9395","40.9042","0.0000","168.4725","490.0000","0.4140","10000.0000","54.58510297","24.52722827","30.9688","3.8700","2706.6001","0.0773"
"1.350","0.2745","14","0.0000","0.0000","4.3088","-40.7008","0.0000","168.4708","490.0000","0.3780","10000.0000","54.58510307","24.52722821","30.9688","3.8700","3095.5601","0.0798"
"1.400","0.5014","14","0.0000","0.0000","2.7353","-22.3135","0.0000","168.4689","490.0000","0.4320","10000.0000","54.58510310","24.52722819","30.9688","3.8700","2979.6201","0.0851"
"1.450","0.2431","14","0.0000","0.0000","-0.1455","-45.4287","0.0000","168.4587","490.0000","0.4230","10000.0000","54.58510303","24.52722819","30.9688","3.8700","2770.8201","0.0900"
"1.500","0.1325","14","0.0000","0.0000","-2.9108","32.1195","0.0000","168.4526","490.0000","0.4860","10000.0000","54.58510299","24.52722819","30.9688","3.8700","2603.3999","0.0925"
"1.550","0.0540","14","0.0000","0.0000","22.2588","-68.4505","0.0000","168.4587","490.0000","0.5220","10000.0000","54.58510303","24.52722819","30.9688","3.8700","2450.2800","0.0938"
"1.600","0.1138","14","0.0000","0.0000","-14.0291","23.9483","0.0000","168.4498","490.0000","0.5400","10000.0000","54.58510303","24.52722840","30.9688","3.8700","2307.7400","0.0948"
"1.650","0.3150","15","0.0000","0.0000","-3.2033","47.0339","0.0000","168.4392","490.0000","0.5310","10000.0000","54.58510316","24.52722853","30.9688","3.8700","2167.6001","0.0980"
"1.700","0.3448","15","0.0000","0.0000","-1.1992","61.5251","0.0000","168.4392","490.0000","0.5040","10000.0000","54.58510316","24.52722853","30.9688","3.8700","2050.8201","0.1028"
"1.750","0.2161","15","0.0000","0.0000","5.5621","92.0684","0.0000","168.4453","490.0000","0.4230","10000.0000","54.58510320","24.52722853","30.9688","3.8700","1953.3000","0.1067"
"1.800","0.1689","15","0.0000","0.0000","8.2523","161.3552","0.0000","168.4579","490.0000","0.4320","10000.0000","54.58510308","24.52722840","30.9688","3.8700","1871.2000","0.1094"
