"Format","AiM CSV File"
"Session","Rotena"
"Vehicle","kartingas"
"Racer","Jokūbas Kupstas"
"Championship",""
"Comment",""
"Date","Saturday, June 13, 2026"
"Time","11:14 AM"
"Sample Rate","20"
"Duration","939.993"
"Segment","Session"
"Beacon Markers","9.578","79.908","145.597","210.596","275.143","339.284","402.828","466.265","529.306","592.511","655.52","718.34","781.496","844.463","939.993"
"Segment Times","0:09.578","1:10.330","1:05.689","1:04.999","1:04.547","1:04.141","1:03.544","1:03.437","1:03.041","1:03.205","1:03.009","1:02.820","1:03.156","1:02.967","1:35.530"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","m"

"0.000","0.1610","13","0.0000","0.0000","26.8025","135.2767","0.0000","179.2339","430.0000","0.3600","10000.0000","54.58519466","24.52720352","28.3438","3.9160","1029.0000","0.0000"
"0.050","0.1916","13","0.0000","0.0000","23.2790","122.0589","0.0000","179.2312","430.0000","0.3690","10000.0000","54.58519466","24.52720357","28.3438","3.9160","1029.0000","0.0028"
"0.100","0.2335","13","0.0000","0.0000","18.0092","93.0715","0.0000","179.2229","430.0000","0.3960","10000.0000","54.58519465","24.52720373","28.3438","3.9160","1159.5200","0.0059"
"0.150","0.1938","13","0.0000","0.0000","13.4248","90.4765","0.0000","179.2085","430.0000","0.4230","10000.0000","54.58519459","24.52720388","28.3438","3.9160","1551.5400","0.0088"
"0.200","0.2902","13","0.0000","0.0000","9.9795","104.3280","0.0000","179.1956","430.0000","0.4320","10000.0000","54.58519453","24.52720393","28.3438","3.9160","1581.6600","0.0121"
"0.250","0.3128","13","0.0000","0.0000","5.7574","87.6449","0.0000","179.1883","430.0000","0.4320","10000.0000","54.58519458","24.52720400","28.3438","3.9160","1480.2000","0.0165"
"0.300","0.1090","13","0.0000","0.0000","16.4430","11.2266","0.0000","179.1874","430.0000","0.4140","10000.0000","54.58519455","24.52720407","28.3438","3.9160","1376.8000","0.0191"
"0.350","0.0864","13","0.0000","0.0000","27.5098","-125.9340","0.0000","179.2028","430.0000","0.3420","10000.0000","54.58519455","24.52720409","28.3438","3.9154","1252.3000","0.0205"
"0.400","0.0360","13","0.0000","0.0000","54.5863","0.0000","0.0000","179.1927","430.0000","0.2520","10000.0000","54.58519456","24.52720414","28.3438","3.9144","1243.5200","0.0214"
"0.450","0.2843","13","0.0000","0.0000","8.4153","143.9744","0.0000","179.1775","430.0000","0.4050","10000.0000","54.58519444","24.52720429","28.3438","3.9145","1202.2800","0.0240"
"0.500","0.2211","13","0.0000","0.0000","15.7410","83.7549","0.0000","179.1815","430.0000","0.4140","10000.0000","54.58519447","24.52720438","28.3438","3.9154","1174.8199","0.0276"
"0.550","0.1417","13","0.0000","0.0000","17.7347","101.3667","0.0000","179.1793","430.0000","0.4230","10000.0000","54.58519446","24.52720447","28.3438","3.9160","1219.1801","0.0300"
"0.600","0.0720","13","0.0000","0.0000","54.5863","-0.0000","0.0000","179.1894","430.0000","0.3240","10000.0000","54.58519445","24.52720442","28.3438","3.9160","1720.7000","0.0316"
"0.650","0.1527","13","0.0000","0.0000","29.9162","-1.8513","0.0000","179.1794","430.0000","0.3960","10000.0000","54.58519454","24.52720451","28.3438","3.9160","2669.5801","0.0333"
"0.700","0.1484","13","0.0000","0.0000","12.8303","63.9218","0.0000","179.1584","430.0000","0.3960","10000.0000","54.58519453","24.52720468","28.3438","3.9160","3038.2600","0.0354"
"0.750","0.1814","13","0.0000","0.0000","10.8067","142.4911","0.0000","179.1497","430.0000","0.3960","10000.0000","54.58519448","24.52720465","28.3438","3.9160","2907.2800","0.0376"
"0.800","0.0000","13","0.0000","0.0000","0.0000","0.0000","0.0000","179.1409","430.0000","0.3960","10000.0000","54.58519444","24.52720461","28.3444","3.9160","2689.4399","0.0391"
"0.850","0.1413","13","0.0000","0.0000","4.5595","-64.0222","0.0000","179.1281","430.0000","0.4320","10000.0000","54.58519445","24.52720471","28.3451","3.9160","2498.0000","0.0404"
"0.900","0.1539","13","0.0000","0.0000","17.1916","8.6389","0.0000","179.1338","430.0000","0.4320","10000.0000","54.58519438","24.52720485","28.3458","3.9160","2348.5200","0.0422"
"0.950","0.2718","13","0.0000","0.0000","6.9723","141.1089","0.0000","179.1355","430.0000","0.4320","10000.0000","54.58519435","24.52720505","28.3465","3.9160","2208.0601","0.0453"
"1.000","0.3159","13","0.0000","0.0000","5.3571","157.2176","0.0000","179.1400","430.0000","0.4320","10000.0000","54.58519430","24.52720503","28.3472","3.9160","2096.0801","0.0493"
"1.050","0.2831","13","0.0000","0.0000","10.9084","167.4400","0.0000","179.1386","430.0000","0.4320","10000.0000","54.58519428","24.52720507","28.3479","3.9160","2213.8999","0.0536"
"1.100","0.1946","13","0.0000","0.0000","10.3001","89.4345","0.0000","179.1357","430.0000","0.4500","10000.0000","54.58519427","24.52720521","28.3486","3.9160","2907.0601","0.0565"
"1.150","0.4161","14","0.0000","0.0000","4.5611","-2.5414","0.0000","179.1314","430.0000","0.4680","10000.0000","54.58519441","24.52720518","28.3494","3.9160","3372.1799","0.0607"
"1.200","0.3097","14","0.0000","0.0000","-0.0361","-36.5517","0.0000","179.1161","430.0000","0.4320","10000.0000","54.58519445","24.52720523","28.3501","3.9159","3425.5000","0.0660"
"1.250","0.1347","14","0.0000","0.0000","21.3278","-115.1387","0.0000","179.1265","430.0000","0.4590","10000.0000","54.58519435","24.52720525","28.3508","3.9150","3690.5400","0.0688"
"1.300","0.3093","14","0.0000","0.0000","6.5212","-62.9355","0.0000","179.1295","430.0000","0.4320","10000.0000","54.58519443","24.52720516","28.3515","3.9141","4011.0400","0.0718"
"1.350","0.5699","13","0.0000","0.0000","3.1118","-76.8980","0.0000","179.1242","430.0000","0.4320","10000.0000","54.58519438","24.52720502","28.3522","3.9140","4147.1001","0.0779"
"1.400","1.0144","13","0.0000","0.0000","1.7080","-92.4036","0.0000","179.1328","430.0000","0.4680","10000.0000","54.58519439","24.52720461","28.3529","3.9140","4238.0801","0.0884"
"1.450","1.3951","14","-0.0467","0.1839","1.9833","-82.0767","0.0000","179.1349","430.0000","0.4590","10000.0000","54.58519452","24.52720426","28.3536","3.9140","4316.1802","0.1056"
"1.500","1.5359","14","-0.0479","0.1956","1.0901","-78.4942","0.0000","179.1167","430.0000","0.4500","10000.0000","54.58519451","24.52720391","28.3544","3.9140","4319.3198","0.1260"
"1.550","1.9032","14","-0.0385","0.2061","1.1217","-95.2150","0.0000","179.1103","430.0000","0.4680","10000.0000","54.58519436","24.52720341","28.3551","3.9140","4368.7402","0.1495"
"1.600","2.3667","14","-0.0008","0.2080","0.9556","-91.3443","0.0000","179.1111","430.0000","0.4680","10000.0000","54.58519435","24.52720281","28.3558","3.9140","4457.6001","0.1788"
"1.650","2.8568","14","0.0139","0.1972","0.6382","-85.6621","0.0000","179.1104","430.0000","0.4680","10000.0000","54.58519444","24.52720206","28.3565","3.9140","4488.2202","0.2156"
"1.700","3.1108","13","0.0190","0.1810","0.5226","-84.8623","0.0000","179.1108","430.0000","0.4680","10000.0000","54.58519451","24.52720138","28.3572","3.9140","4460.4399","0.2571"
"1.750","3.2737","13","0.0077","0.1530","0.4672","-93.3556","0.0000","179.0908","430.0000","0.4680","10000.0000","54.58519438","24.52720065","28.3579","3.9140","4496.3799","0.3015"
"1.800","3.4983","13","0.0114","0.1632","1.1125","-94.6230","0.0000","179.0966","430.0000","0.4680","10000.0000","54.58519438","24.52719982","28.3586","3.9140","4508.8599","0.3483"
