"Format","AiM CSV File"
"Session","Rotena"
"Vehicle","kartingas"
"Racer","Jokūbas Kupstas"
"Championship",""
"Comment",""
"Date","Saturday, June 13, 2026"
"Time","12:14 PM"
"Sample Rate","20"
"Duration","981.985"
"Segment","Session"
"Beacon Markers","10.158","75.139","137.692","199.753","261.643","324.358","386.212","447.884","509.614","571.274","632.952","694.404","756.525","820.518","882.854","981.985"
"Segment Times","0:10.158","1:04.981","1:02.553","1:02.061","1:01.890","1:02.715","1:01.854","1:01.672","1:01.730","1:01.660","1:01.678","1:01.452","1:02.121","1:03.993","1:02.336","1:39.131"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","m"

"0.000","0.1347","16","0.0000","0.0000","4.3760","-124.7633","0.0000","175.1458","480.0000","0.3960","10000.0000","54.58518849","24.52726814","29.4375","3.8980","1368.0000","0.0000"
"0.050","0.1713","16","0.0000","0.0000","1.7782","-128.0162","0.0000","175.1451","480.0000","0.4050","10000.0000","54.58518846","24.52726813","29.4375","3.8974","1978.1600","0.0018"
"0.100","0.2288","16","0.0000","0.0000","-3.0210","-136.2558","0.0000","175.1429","480.0000","0.4320","10000.0000","54.58518837","24.52726808","29.4375","3.8967","2249.4800","0.0048"
"0.150","0.1205","15","0.0000","0.0000","-8.8132","-155.6001","0.0000","175.1368","480.0000","0.4320","10000.0000","54.58518833","24.52726808","29.4375","3.8960","2064.5200","0.0072"
"0.200","0.0509","15","0.0000","0.0000","-11.6943","73.0755","0.0000","175.1242","480.0000","0.3600","10000.0000","54.58518845","24.52726821","29.4375","3.8960","1926.6200","0.0085"
"0.250","0.3207","15","0.0000","0.0000","-8.8586","68.7945","0.0000","175.1190","480.0000","0.3870","10000.0000","54.58518852","24.52726827","29.4375","3.8960","1794.0400","0.0115"
"0.300","0.1718","15","0.0000","0.0000","-13.2722","-24.5575","0.0000","175.1216","480.0000","0.3780","10000.0000","54.58518848","24.52726824","29.4375","3.8960","1687.8400","0.0150"
"0.350","0.0624","15","0.0000","0.0000","-17.7605","-126.5632","0.0000","175.1185","480.0000","0.3690","10000.0000","54.58518852","24.52726815","29.4375","3.8960","1575.4000","0.0165"
"0.400","0.1484","15","0.0000","0.0000","2.0458","117.9726","0.0000","175.1190","480.0000","0.3240","10000.0000","54.58518852","24.52726827","29.4375","3.8960","1457.1400","0.0178"
"0.450","0.1080","15","0.0000","0.0000","10.4390","82.7986","0.0000","175.1329","480.0000","0.3510","10000.0000","54.58518850","24.52726833","29.4375","3.8960","1358.1200","0.0196"
"0.500","0.0540","15","0.0000","0.0000","-3.2062","89.2354","0.0000","175.1230","480.0000","0.4320","10000.0000","54.58518854","24.52726827","29.4375","3.8960","1290.1000","0.0205"
"0.550","0.2254","15","0.0000","0.0000","-1.6233","-56.4350","0.0000","175.1111","480.0000","0.4320","10000.0000","54.58518850","24.52726816","29.4375","3.8960","1226.4000","0.0224"
"0.600","0.2219","15","0.0000","0.0000","-2.6974","-140.7603","0.0000","175.1084","480.0000","0.4320","10000.0000","54.58518849","24.52726813","29.4375","3.8960","1290.9600","0.0256"
"0.650","0.2259","15","0.0000","0.0000","-3.1305","19.8622","0.0000","175.1113","480.0000","0.4590","10000.0000","54.58518861","24.52726819","29.4375","3.8960","1444.8400","0.0287"
"0.700","0.3030","15","0.0000","0.0000","0.3093","35.8743","0.0000","175.1154","480.0000","0.4500","10000.0000","54.58518864","24.52726819","29.4375","3.8960","1483.8000","0.0324"
"0.750","0.1617","15","0.0000","0.0000","8.9544","19.7055","0.0000","175.1194","480.0000","0.4680","10000.0000","54.58518867","24.52726819","29.4375","3.8960","1471.6400","0.0359"
"0.800","0.1650","15","0.0000","0.0000","9.0311","-170.4527","0.0000","175.1194","480.0000","0.4680","10000.0000","54.58518867","24.52726819","29.4375","3.8960","2169.2600","0.0380"
"0.850","0.0928","16","0.0000","0.0000","4.4171","-158.5027","0.0000","175.1100","480.0000","0.4680","10000.0000","54.58518863","24.52726821","29.4375","3.8960","2983.4600","0.0396"
"0.900","0.1218","16","0.0000","0.0000","-2.1472","-122.4111","0.0000","175.1087","480.0000","0.3960","10000.0000","54.58518865","24.52726823","29.4375","3.8960","3145.7800","0.0412"
"0.950","0.2341","15","0.0000","0.0000","-1.4582","-87.9460","0.0000","175.0994","480.0000","0.3510","10000.0000","54.58518865","24.52726814","29.4375","3.8960","2946.8799","0.0435"
"1.000","0.2546","16","0.0000","0.0000","-6.2613","-125.6080","0.0000","175.0955","480.0000","0.4320","10000.0000","54.58518866","24.52726812","29.4375","3.8960","2733.3401","0.0470"
"1.050","0.1533","16","0.0000","0.0000","-5.3189","-63.5239","0.0000","175.0935","480.0000","0.3510","10000.0000","54.58518868","24.52726810","29.4375","3.8960","2567.9399","0.0497"
"1.100","0.0714","16","0.0000","0.0000","0.1910","35.8686","0.0000","175.0890","480.0000","0.3960","10000.0000","54.58518874","24.52726811","29.4375","3.8960","2417.8999","0.0512"
"1.150","0.1776","16","0.0000","0.0000","-3.0893","85.6439","0.0000","175.0862","480.0000","0.3600","10000.0000","54.58518877","24.52726823","29.4375","3.8960","2407.4600","0.0528"
"1.200","0.1080","16","0.0000","0.0000","-6.4124","178.4708","0.0000","175.0820","480.0000","0.4680","10000.0000","54.58518867","24.52726818","29.4375","3.8960","2869.1399","0.0549"
"1.250","0.1737","16","0.0000","0.0000","1.3522","-107.3708","0.0000","175.0802","480.0000","0.3780","10000.0000","54.58518866","24.52726801","29.4375","3.8960","3356.8000","0.0570"
"1.300","0.2171","16","0.0000","0.0000","-10.9138","-67.6519","0.0000","175.0650","480.0000","0.3240","10000.0000","54.58518873","24.52726803","29.4375","3.8960","3279.3601","0.0596"
"1.350","0.1387","16","0.0000","0.0000","-1.9974","-117.4782","0.0000","175.0699","480.0000","0.3780","10000.0000","54.58518879","24.52726796","29.4375","3.8960","3213.1001","0.0624"
"1.400","0.1347","16","0.0000","0.0000","4.3760","-124.7633","0.0000","175.0715","480.0000","0.4320","10000.0000","54.58518865","24.52726804","29.4381","3.8960","3372.0200","0.0641"
"1.450","0.2616","16","0.0000","0.0000","5.7485","-122.0714","0.0000","175.0825","480.0000","0.4140","10000.0000","54.58518867","24.52726784","29.4392","3.8960","3240.0000","0.0670"
"1.500","0.3464","16","0.0000","0.0000","2.1014","-92.9597","0.0000","175.0772","480.0000","0.3600","10000.0000","54.58518866","24.52726776","29.4404","3.8960","2938.1399","0.0712"
"1.550","0.4025","16","0.0000","0.0000","1.1814","-91.6620","0.0000","175.0719","480.0000","0.3330","10000.0000","54.58518865","24.52726769","29.4416","3.8960","2722.1799","0.0765"
"1.600","0.2694","16","0.0000","0.0000","4.3760","-124.7633","0.0000","175.0638","480.0000","0.3960","10000.0000","54.58518859","24.52726769","29.4427","3.8960","2562.8999","0.0813"
"1.650","0.2846","16","0.0000","0.0000","2.9606","-76.3722","0.0000","175.0689","480.0000","0.3240","10000.0000","54.58518868","24.52726752","29.4439","3.8960","2859.2800","0.0851"
"1.700","0.4294","16","0.0000","0.0000","-0.4266","-72.7489","0.0000","175.0659","480.0000","0.3240","10000.0000","54.58518872","24.52726734","29.4450","3.8960","3217.7600","0.0903"
"1.750","0.5458","16","0.0000","0.0000","-1.2275","-72.2183","0.0000","175.0547","480.0000","0.3240","10000.0000","54.58518875","24.52726732","29.4462","3.8960","3113.1001","0.0968"
"1.800","0.5154","16","0.0000","0.0000","-3.6947","-63.0536","0.0000","175.0408","480.0000","0.3240","10000.0000","54.58518873","24.52726720","29.4473","3.8960","2842.8999","0.1044"
